"VendorID","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","RatecodeID","PULocationID","DOLocationID","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type","congestion_surcharge"
2,2020-04-15 16:36:00.000000,2020-04-15 17:09:00.000000,,,55,237,,19.69,46.1,0,0,2.75,0,,0.3,49.15,,,
2,2020-04-08 21:04:00.000000,2020-04-08 21:29:00.000000,,,159,171,,11.44,32.15,0,0,0,6.12,,0.3,38.57,,,
1,2020-04-12 14:30:24.000000,2020-04-12 14:41:47.000000,"N",1,33,181,1,2.3,10.5,0,0.5,0,0,,0.3,11.3,2,1,0
2,2020-04-30 09:32:17.000000,2020-04-30 09:47:13.000000,"N",1,74,69,1,2.9,12.5,0,0.5,0,0,,0.3,13.3,2,1,0
2,2020-04-20 08:39:00.000000,2020-04-20 08:51:00.000000,,,97,189,,1.92,13.99,0,0,2.75,0,,0.3,17.04,,,
2,2020-04-02 12:37:47.000000,2020-04-02 13:03:09.000000,"N",1,65,91,1,4.97,20,0,0.5,4.16,0,,0.3,24.96,1,1,0
2,2020-04-29 18:57:00.000000,2020-04-29 19:16:00.000000,,,97,225,,4.11,15.16,0,0,2.75,0,,0.3,18.21,,,
1,2020-04-17 10:08:37.000000,2020-04-17 10:24:12.000000,"N",5,242,18,1,0,12,0,0,0,0,,0,12,2,2,0
2,2020-04-04 16:58:10.000000,2020-04-04 17:07:48.000000,"N",1,74,159,1,2.29,9.5,0,0.5,0,0,,0.3,10.3,1,1,0
2,2020-04-24 07:22:54.000000,2020-04-24 07:56:35.000000,"N",1,197,65,1,8.7,29,0,0.5,2.75,0,,0.3,32.55,1,1,0
2,2020-04-09 07:38:00.000000,2020-04-09 08:00:00.000000,,,17,76,,4.52,23.52,0,0,2.75,0,,0.3,26.57,,,
2,2020-04-04 12:10:00.000000,2020-04-04 12:14:00.000000,,,182,248,,0.42,10,0,0,0,6.12,,0.3,16.42,,,
2,2020-04-23 20:41:00.000000,2020-04-23 21:05:00.000000,,,191,254,,15.87,30.32,0,0,2.75,6.12,,0.3,39.49,,,
2,2020-04-22 19:53:34.000000,2020-04-22 20:11:00.000000,"N",1,17,91,1,3.72,14.5,1,0.5,2,0,,0.3,18.3,1,1,0
2,2020-04-13 15:21:34.000000,2020-04-13 15:27:12.000000,"N",1,65,97,1,0.94,5.5,0,0.5,1.26,0,,0.3,7.56,1,1,0
2,2020-04-01 12:11:26.000000,2020-04-01 12:30:45.000000,"N",1,17,76,1,3.83,16,0,0.5,0,0,,0.3,16.8,2,1,0
2,2020-04-19 17:07:11.000000,2020-04-19 17:17:13.000000,"N",1,92,56,1,2.12,9,0,0.5,0,0,,0.3,9.8,2,1,0
2,2020-04-14 09:01:46.000000,2020-04-14 09:06:29.000000,"N",1,41,166,1,1.03,5.5,0,0.5,1.7,0,,0.3,8,1,1,0
1,2020-04-20 13:04:57.000000,2020-04-20 13:11:08.000000,"N",1,42,244,1,1.3,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
2,2020-04-28 09:21:00.000000,2020-04-28 09:34:00.000000,,,185,81,,3.12,8,0,0,2.75,0,,0.3,11.05,,,
2,2020-04-13 09:56:30.000000,2020-04-13 10:01:33.000000,"N",1,74,75,1,0.96,6,0,0.5,0,0,,0.3,6.8,2,1,0
2,2020-04-18 22:54:34.000000,2020-04-18 22:58:31.000000,"N",1,75,74,1,1.36,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,2020-04-14 13:08:00.000000,2020-04-14 13:40:00.000000,,,17,169,,16.89,31.6,0,0,2.75,0,,0.3,34.65,,,
2,2020-04-30 07:42:00.000000,2020-04-30 07:51:00.000000,,,244,42,,3.97,14.07,0,0,2.87,0,,0.3,17.24,,,
2,2020-04-20 10:24:08.000000,2020-04-20 10:28:41.000000,"N",1,97,189,1,0.65,4,0,0.5,0,0,,0.3,4.8,2,1,0
2,2020-04-04 00:10:13.000000,2020-04-04 00:17:05.000000,"N",1,42,152,1,1.22,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
1,2020-04-01 12:55:33.000000,2020-04-01 13:03:45.000000,"N",1,127,243,1,1.2,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
