"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
1,2020-04-04 15:47:53.000000,2020-04-04 16:14:46.000000,2,2.9,1,"N",141,140,2,18,2.5,0.5,0,0,0.3,21.3,2.5,
1,2020-04-19 13:22:45.000000,2020-04-19 13:31:18.000000,1,2.8,1,"N",170,263,1,10,2.5,0.5,2,0,0.3,15.3,2.5,
1,2020-04-07 06:18:44.000000,2020-04-07 06:42:22.000000,1,0,1,"N",263,80,1,25.7,2.5,0.5,5.8,0,0.3,34.8,2.5,
1,2020-04-01 14:01:45.000000,2020-04-01 14:10:45.000000,1,2.2,1,"N",41,168,2,9,0,0.5,0,0,0.3,9.8,0,
2,2020-04-04 09:50:07.000000,2020-04-04 09:59:16.000000,1,4.19,1,"N",236,234,1,13,0,0.5,5,0,0.3,21.3,2.5,
1,2020-04-24 15:25:05.000000,2020-04-24 15:26:36.000000,1,0.3,1,"N",238,238,1,3.5,2.5,0.5,1.35,0,0.3,8.15,2.5,
1,2020-04-07 07:44:54.000000,2020-04-07 07:55:57.000000,1,4.2,1,"N",141,159,1,14.5,2.5,0.5,2,0,0.3,19.8,2.5,
2,2020-04-01 11:46:00.000000,2020-04-01 12:02:00.000000,,2.32,,,242,213,0,9.39,0,0.5,0,0,0.3,10.19,,
1,2020-04-21 07:33:58.000000,2020-04-21 07:39:43.000000,1,0.9,1,"N",41,166,2,6,0,0.5,0,0,0.3,6.8,0,
2,2020-04-25 13:11:01.000000,2020-04-25 13:19:33.000000,1,2.3,1,"N",163,75,1,9.5,0,0.5,1.61,0,0.3,14.41,2.5,
1,2020-04-15 18:02:43.000000,2020-04-15 18:11:14.000000,1,2.5,1,"N",237,107,2,9.5,3.5,0.5,0,0,0.3,13.8,2.5,
2,2020-04-24 11:40:03.000000,2020-04-24 11:46:49.000000,1,1.57,1,"N",75,74,2,7,0,0.5,0,0,0.3,7.8,0,
1,2020-04-10 14:02:37.000000,2020-04-10 14:18:43.000000,1,3.7,1,"N",230,41,1,15,2.5,0.5,3.65,0,0.3,21.95,2.5,
1,2020-04-12 17:46:01.000000,2020-04-12 18:06:42.000000,1,3.7,1,"N",142,75,2,17,2.5,0.5,0,0,0.3,20.3,2.5,
2,2020-04-17 20:32:23.000000,2020-04-17 20:37:51.000000,1,1.46,1,"N",113,125,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5,
2,2020-04-06 20:44:00.000000,2020-04-06 20:58:00.000000,,7.27,,,137,129,0,23.37,0,0.5,0,6.12,0.3,32.79,,
2,2020-04-15 11:08:24.000000,2020-04-15 11:11:55.000000,1,0.35,1,"N",238,151,2,4,0,0.5,0,0,0.3,4.8,0,
2,2020-04-14 11:24:25.000000,2020-04-14 11:58:43.000000,,21.25,,,152,55,0,58.25,0,0,2.75,6.12,0.3,67.42,,
1,2020-04-16 14:54:55.000000,2020-04-16 14:58:20.000000,1,0.7,1,"N",263,236,1,4.5,2.5,0.5,1,0,0.3,8.8,2.5,
2,2020-04-10 21:20:54.000000,2020-04-10 21:27:28.000000,1,3.27,1,"N",140,224,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5,
2,2020-04-25 08:40:58.000000,2020-04-25 08:46:09.000000,1,1.04,1,"N",74,41,2,6,0,0.5,0,0,0.3,6.8,0,
1,2020-04-04 15:43:34.000000,2020-04-04 15:50:40.000000,1,1.3,1,"N",226,7,2,7,0,0.5,0,0,0.3,7.8,0,
2,2020-04-03 19:26:05.000000,2020-04-03 19:34:47.000000,1,2.92,1,"N",166,236,1,10.5,1,0.5,2.22,0,0.3,17.02,2.5,
2,2020-04-13 16:16:36.000000,2020-04-13 16:19:16.000000,1,0.64,1,"N",230,142,1,4,1,0.5,1,0,0.3,9.3,2.5,
2,2020-04-07 10:14:08.000000,2020-04-07 10:19:53.000000,1,1.05,1,"N",229,162,2,5,0,0.5,0,0,0.3,8.3,2.5,
2,2020-04-04 06:46:15.000000,2020-04-04 07:10:34.000000,1,7.18,1,"N",17,14,1,24,0,0.5,0,0,0.3,26.75,0,
